id;updatedDate;publishedDate;title;summary;authors;category;metaData;downloadLink;filePath
http://arxiv.org/abs/1407.6950v1;2014-07-24T16:56:39Z;2014-07-24T16:56:39Z;How,whenAndHowMuchACardDeckIsWellShuffled.pdf;"  The Thesis Consider The Mixing Of Few  3 4  Card Shuffling As Well As Oflarge  52 Card  Deck. The Thesis Is Showing The Limit On The Shuffling Tohomogeneity Elaborated In Short Program; The Thesis Is In Italian.";Benjamin Isac Fargion;cs.DM;Italian Thesis In Engeenering Computer, 26 February 2013. 50 pages;http://arxiv.org/pdf/1407.6950v1.pdf;./files/How,whenAndHowMuchACardDeckIsWellShuffled.pdf
http://arxiv.org/abs/0907.0618v1;2009-07-03T12:35:10Z;2009-07-03T12:35:10Z;QuantumIsometryGroups.pdf;  This Thesis Contains The Formulation And Computation Of Quantum Isometrygroups.;Jyotishman Bhowmick;math.OA;Thesis;http://arxiv.org/pdf/0907.0618v1.pdf;./files/QuantumIsometryGroups.pdf
http://arxiv.org/abs/1806.09601v2;2018-07-14T17:06:27Z;2018-06-25T17:55:59Z;ComputationAndBoundingOfFolkmanNumbers.pdf;  Phd Thesis Under The Supervision Of Professor Nedyalko Nenov.;Aleksandar Bikov;math.CO;PhD Thesis;http://arxiv.org/pdf/1806.09601v2.pdf;./files/ComputationAndBoundingOfFolkmanNumbers.pdf
http://arxiv.org/abs/1905.03014v1;2019-05-08T11:47:34Z;2019-05-08T11:47:34Z;OnChurch'sThesisInCubicalAssemblies.pdf;  We Show That Church's Thesis, The Axiom Stating That All Functions On Thenaturals Are Computable, Does Not Hold In The Cubical Assemblies Model Ofcubical Type Theory.  We Show That Nevertheless Church's Thesis Is Consistent With Univalent Typetheory By Constructing A Reflective Subuniverse Of Cubical Assemblies Where Itholds.;Andrew Swan, Taichi Uemura, ;math.LO;0;http://arxiv.org/pdf/1905.03014v1.pdf;./files/OnChurch'sThesisInCubicalAssemblies.pdf
http://arxiv.org/abs/1901.04911v1;2019-01-15T16:24:07Z;2019-01-15T16:24:07Z;UnconstrainedChurchTuringThesisCannotPossiblyBeTrue.pdf;  The Church Turing Thesis Asserts That If A Partial Strings To Stringsfunction Is Effectively Computable Then It Is Computable By A Turing Machine.  In The 1930s, When Church And Turing Worked On Their Versions Of The Thesis,there Was A Robust Notion Of Algorithm. These Traditional Algorithms Are Knownalso As Classical Or Sequential. In The Original Thesis, Effectively Computablemeant Computable By An Effective Classical Algorithm. Based On An Earlieraxiomatization Of Classical Algorithms, The Original Thesis Was Proven In 2008.  Since The 1930s, The Notion Of Algorithm Has Changed Dramatically. Newspecies Of Algorithms Have Been And Are Being Introduced. We Argue That Thegeneralization Of The Original Thesis, Where Effectively Computable Meanscomputable By An Effective Algorithm Of Any Species, Cannot Possibly Be True.;Yuri Gurevich;cs.LO;0;http://arxiv.org/pdf/1901.04911v1.pdf;./files/UnconstrainedChurchTuringThesisCannotPossiblyBeTrue.pdf
http://arxiv.org/abs/1201.2892v1;2012-01-13T16:34:57Z;2012-01-13T16:34:57Z;AlgebraicRelaxationsAndHardnessResultsInPolynomialOptimizationAndLyapunovAnalysis.pdf;  This Thesis Settles A Number Of Questions Related To Computational Complexityand Algebraic, Semidefinite Programming Based Relaxations In Optimization Andcontrol.;Amir Ali Ahmadi;math.OC;PhD Thesis, MIT, September, 2011;http://arxiv.org/pdf/1201.2892v1.pdf;./files/AlgebraicRelaxationsAndHardnessResultsInPolynomialOptimizationAndLyapunovAnalysis.pdf
http://arxiv.org/abs/1703.08041v1;2017-03-23T12:32:10Z;2017-03-23T12:32:10Z;ResolvingTheComplexityOfSomeFundamentalProblemsInComputationalSocialChoice.pdf;  This Thesis Is In The Area Called Computational Social Choice Which Is Anintersection Area Of Algorithms And Social Choice Theory.;Palash Dey;cs.DS;Ph.D. Thesis;http://arxiv.org/pdf/1703.08041v1.pdf;./files/ResolvingTheComplexityOfSomeFundamentalProblemsInComputationalSocialChoice.pdf
http://arxiv.org/abs/math/0507044v1;2005-07-03T19:50:04Z;2005-07-03T19:50:04Z;PaIsInstantiationallyComplete,ButAlgorithmicallyIncompleteAnAlternativeInterpretationOfGoedelianIncompletenessUnderChurch'sThesisThatLinksFormalLogicAndComputability.pdf;  We Define Instantiational And Algorithmic Completeness For A Formal Language.we Show That, In The Presence Of Church's Thesis, An Alternative Interpretationof Goedelian Incompleteness Is That Peano Arithmetic Is Instantiationallycomplete, But Algorithmically Incomplete. We Then Postulate A Provabilitythesis That Links Peano Arithmetic And Effective Algorithmic Computability,just As Church's Thesis Links Recursive Arithmetic And Effectiveinstantiational Computability.;Bhupinder Singh Anand;math.GM;"18 pages; an HTML version is available at
  http://alixcomsi.com/PA_is_instantiationally_complete.htm";http://arxiv.org/pdf/math/0507044v1.pdf;./files/PaIsInstantiationallyComplete,ButAlgorithmicallyIncompleteAnAlternativeInterpretationOfGoedelianIncompletenessUnderChurch'sThesisThatLinksFormalLogicAndComputability.pdf
http://arxiv.org/abs/0907.3132v1;2009-07-17T07:57:56Z;2009-07-17T07:57:56Z;NumericalModelingOfFluidFlowThroughPorousMediaModelowanieNumeryczneTransportuPlynowPrzezOsrodkiPorowate.pdf;"  The Aim Of The Thesis Is To Present And Analyze Two Particular Problems Oftransport In Porous Media Flow. The First Of Them Is Related To The Process Ofsaturation Of Porous Building Materials. Recently, M. K\""untz And P. Laval\'ee,using A Computer Model Of This Process, Have Concluded That The Anomalousdiffusion Assumption Is Correct. In This Thesis I Present An Alternativeexplanation Of This Results Without Any Refer To Anomalous Diffusion. Thesecond Part Of The Thesis Covers The Numerical Analysis Of The Tortuosity Ofthe Flow    One Of A Very Interesting Physical Macroscopic Variablescharacterizing Transport In Porous Media.  In Polish ";Maciej Matyka;physics.comp-ph;80 pages, PhD Thesis, in Polish;http://arxiv.org/pdf/0907.3132v1.pdf;./files/NumericalModelingOfFluidFlowThroughPorousMediaModelowanieNumeryczneTransportuPlynowPrzezOsrodkiPorowate.pdf
http://arxiv.org/abs/hep-th/0205060v1;2002-05-07T11:45:29Z;2002-05-07T11:45:29Z;ThreebranesInFTheory.pdf;  This Is A Phd Thesis Submitted To The University Of The Witwatersrand. Thephd Focusses On The Computation Of Non Holomorphic Corrections And The Study Ofmonopole Solutions In N=2 Susy Yang Mills Theories From The Perspective Ofthreebranes In F Theory.;Alastair Paulin-Campbell;hep-th;"Phd. Thesis, accepted by the University of the Witwatersrand. 126
  pages";http://arxiv.org/pdf/hep-th/0205060v1.pdf;./files/ThreebranesInFTheory.pdf
http://arxiv.org/abs/1407.1494v1;2014-07-06T13:30:28Z;2014-07-06T13:30:28Z;FromSpinTorqueNanoOscillatorsToMemristorsMultiFunctionalNanodevicesForAdvancedComputing.pdf;  This Habilitation Thesis Written In 2013 Reviews My Research Work On Spintorque Nano Oscillators  From Zero Field Oscillations, To Synchronization Andvortex Oscillators  And Memristive Devices  Spin Torque And Ferroelectricmemristors .;Julie Grollier;cond-mat.mtrl-sci;Habilitation Thesis (June 2013);http://arxiv.org/pdf/1407.1494v1.pdf;./files/FromSpinTorqueNanoOscillatorsToMemristorsMultiFunctionalNanodevicesForAdvancedComputing.pdf
http://arxiv.org/abs/1910.12198v1;2019-10-27T07:01:17Z;2019-10-27T07:01:17Z;EffectusesInCategoricalQuantumFoundations.pdf;  This Thesis Develops The Theory Of Effectuses As A Categorical Axiomaticapproach To Quantum Theory. It Provides A Comprehensive Introduction Toeffectus Theory And Reveals Its Connections With Various Other Topics Andapproaches.;Kenta Cho;quant-ph;PhD thesis, Radboud University (2019);http://arxiv.org/pdf/1910.12198v1.pdf;./files/EffectusesInCategoricalQuantumFoundations.pdf
